{'loss': '1.415', 'grad_norm': '0.4793', 'learning_rate': '1e-06', 'epoch': '0.01587'}
{'loss': '1.989', 'grad_norm': '1.011', 'learning_rate': '1e-06', 'epoch': '0.03175'}
{'loss': '1.464', 'grad_norm': '0.4225', 'learning_rate': '1e-06', 'epoch': '0.04762'}
{'loss': '1.54', 'grad_norm': '0.5569', 'learning_rate': '1e-06', 'epoch': '0.06349'}
{'loss': '1.469', 'grad_norm': '0.4291', 'learning_rate': '1e-06', 'epoch': '0.07937'}
{'loss': '1.555', 'grad_norm': '0.473', 'learning_rate': '1e-06', 'epoch': '0.09524'}
{'loss': '1.346', 'grad_norm': '0.5389', 'learning_rate': '1e-06', 'epoch': '0.1111'}
{'loss': '1.385', 'grad_norm': '0.4589', 'learning_rate': '1e-06', 'epoch': '0.127'}
{'loss': '1.512', 'grad_norm': '0.3702', 'learning_rate': '1e-06', 'epoch': '0.1429'}
{'loss': '1.683', 'grad_norm': '0.566', 'learning_rate': '1e-06', 'epoch': '0.1587'}
{'loss': '1.536', 'grad_norm': '0.4649', 'learning_rate': '1e-06', 'epoch': '0.1746'}
{'loss': '1.546', 'grad_norm': '0.4546', 'learning_rate': '1e-06', 'epoch': '0.1905'}
{'loss': '1.527', 'grad_norm': '0.3959', 'learning_rate': '1e-06', 'epoch': '0.2063'}
{'loss': '1.564', 'grad_norm': '0.5041', 'learning_rate': '1e-06', 'epoch': '0.2222'}
{'loss': '1.5', 'grad_norm': '0.584', 'learning_rate': '1e-06', 'epoch': '0.2381'}
{'loss': '1.477', 'grad_norm': '0.5061', 'learning_rate': '1e-06', 'epoch': '0.254'}
{'loss': '1.581', 'grad_norm': '0.553', 'learning_rate': '1e-06', 'epoch': '0.2698'}
{'loss': '1.685', 'grad_norm': '0.746', 'learning_rate': '1e-06', 'epoch': '0.2857'}
{'loss': '1.433', 'grad_norm': '0.4109', 'learning_rate': '1e-06', 'epoch': '0.3016'}
{'loss': '1.505', 'grad_norm': '0.5934', 'learning_rate': '1e-06', 'epoch': '0.3175'}
{'loss': '1.25', 'grad_norm': '0.4217', 'learning_rate': '1e-06', 'epoch': '0.3333'}
